method,mAP,Rank-1,Rank-5,Rank-10
CLIP rerank k1=30 k2=1 lambda=0.7,0.2197125235195715,0.14499999582767487,0.32499998807907104,0.48500001430511475
CLIP rerank k1=30 k2=3 lambda=0.1,0.23728336837182062,0.17000000178813934,0.26499998569488525,0.4350000023841858
CLIP rerank k1=30 k2=3 lambda=0.3,0.2435035551663291,0.18000000715255737,0.2800000011920929,0.4350000023841858
CLIP rerank k1=30 k2=3 lambda=0.5,0.24455042246355943,0.18000000715255737,0.3149999976158142,0.4399999976158142
CLIP rerank k1=30 k2=3 lambda=0.7,0.23843510296390136,0.1599999964237213,0.3149999976158142,0.4699999988079071
CLIP rerank k1=30 k2=6 lambda=0.1,0.2358806253859579,0.1599999964237213,0.28999999165534973,0.4050000011920929
CLIP rerank k1=30 k2=6 lambda=0.3,0.23565304029043965,0.1599999964237213,0.30000001192092896,0.42500001192092896
CLIP rerank k1=30 k2=6 lambda=0.5,0.23720050871766296,0.17000000178813934,0.29499998688697815,0.45500001311302185
CLIP rerank k1=30 k2=6 lambda=0.7,0.23928390641661104,0.17000000178813934,0.3199999928474426,0.4699999988079071
CLIP camera calibration zscore,0.3201872580808638,0.24500000476837158,0.47999998927116394,0.6299999952316284
CLIP camera calibration mean_center,0.29570490749880923,0.22499999403953552,0.4449999928474426,0.5849999785423279
CLIP camera calibration minmax,0.37933959709530773,0.30000001192092896,0.5699999928474426,0.699999988079071
CLIP + agreement topk=3 beta=0.005,0.2417312738887115,0.17499999701976776,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=3 beta=0.01,0.23964794055537816,0.16500000655651093,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=3 beta=0.02,0.23964794055537816,0.16500000655651093,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=3 beta=0.05,0.2388146072220448,0.16500000655651093,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=5 beta=0.005,0.24131460722204479,0.17499999701976776,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=5 beta=0.01,0.2397173849998226,0.17000000178813934,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=5 beta=0.02,0.23950905166648923,0.17000000178813934,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=5 beta=0.05,0.23650905166648925,0.16500000655651093,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=10 beta=0.005,0.23927393261887023,0.17000000178813934,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=10 beta=0.01,0.23773689558183314,0.16500000655651093,0.3700000047683716,0.5049999952316284
CLIP + agreement topk=10 beta=0.02,0.23335594320088077,0.1599999964237213,0.36000001430511475,0.5049999952316284
CLIP + agreement topk=10 beta=0.05,0.2316710887035263,0.16500000655651093,0.33500000834465027,0.5049999952316284
CLIP standardize+L2,0.261334964938684,0.1850000023841858,0.38999998569488525,0.5099999904632568
CLIP pca dim=32,0.23073997769439508,0.16500000655651093,0.3199999928474426,0.48500001430511475
CLIP whiten dim=32,0.26434034697745723,0.20999999344348907,0.39500001072883606,0.4950000047683716
CLIP pca dim=64,0.2517611249746534,0.18000000715255737,0.36500000953674316,0.4950000047683716
CLIP whiten dim=64,0.26421081720584355,0.20000000298023224,0.41499999165534973,0.5199999809265137
CLIP pca dim=128,0.2555709383503863,0.18000000715255737,0.3700000047683716,0.5149999856948853
CLIP whiten dim=128,0.239778663425411,0.1850000023841858,0.36500000953674316,0.4749999940395355
CLIP pca dim=256,0.2531983697738297,0.18000000715255737,0.3700000047683716,0.5099999904632568
CLIP whiten dim=256,0.13904922887867083,0.10999999940395355,0.2750000059604645,0.3499999940395355
