method,mAP,Rank-1,Rank-5,Rank-10
TransReID,0.15389894893570813,0.09000000357627869,0.2199999988079071,0.4000000059604645
CLIP-ReID,0.2404812738887115,0.17000000178813934,0.3700000047683716,0.5049999952316284
fixed-distance alpha=0.400,0.21867037594549874,0.1550000011920929,0.30000001192092896,0.48500001430511475
query-adaptive topk=10,0.2132695292144205,0.1550000011920929,0.28999999165534973,0.44999998807907104
reciprocal-rank k=60,0.2066275861031915,0.14499999582767487,0.3100000023841858,0.46000000834465027
camera-conf topk=50,0.21904355460146402,0.1550000011920929,0.28999999165534973,0.4650000035762787
